iteration,max_pixel_error,pixel_error,error
0, 22, 539, 0.9817695655098236
500, 23, 411, 0.5361098460278332
1000, 23, 407, 0.47692613364462977
1500, 23, 407, 0.4769288467362604
2000, 22, 407, 0.4769253054136375
2500, 22, 407, 0.47692612390661265
3000, 22, 407, 0.47692548985106914
3500, 23, 407, 0.4769257006386063
4000, 22, 407, 0.4769255133633087
4500, 22, 407, 0.47688897205608194
5000, 23, 407, 0.47680860259885116
5500, 23, 415, 0.30162561639840724
6000, 25, 407, 0.2835655492222086
6500, 24, 407, 0.2835651603148059
7000, 24, 407, 0.2835643297414398
7500, 25, 395, 0.27006148662370033
8000, 25, 395, 0.2700618258168168
8500, 24, 395, 0.2700611095033552
9000, 26, 395, 0.2700616994986372
9500, 27, 396, 0.27006063048542533
10000, 27, 393, 0.26199894161851667
10500, 26, 393, 0.2619985694819569
11000, 27, 393, 0.2620053985213782
11500, 28, 393, 0.26200009000779567
12000, 26, 393, 0.2620068128027106
12500, 26, 393, 0.2620045072385326
13000, 27, 393, 0.26199203499481377
13500, 27, 393, 0.2620021821272915
14000, 27, 391, 0.25393472478255197
14500, 29, 391, 0.2539350751664298
15000, 28, 391, 0.2539370810382521
15500, 28, 391, 0.25394880059458536
16000, 27, 389, 0.271147301400403
16500, 29, 390, 0.2685765659372632
17000, 26, 390, 0.2493465741061471
17500, 27, 360, 0.24198256155126896
18000, 35, 346, 0.29625679080279194
18500, 21, 277, 0.2074281382441077
19000, 12, 242, 0.15647205169567074
19500, 13, 227, 0.14533846005353335
20000, 13, 229, 0.14326903233240137
20500, 14, 213, 0.1378909715614717
21000, 14, 225, 0.1413213215294351
21500, 14, 200, 0.13106215408725871
22000, 12, 200, 0.1295984135006921
22500, 10, 186, 0.1254420634575065
23000, 13, 197, 0.1326148105920212
23500, 11, 192, 0.12192737443521567
24000, 13, 211, 0.12135816865131713
24500, 13, 190, 0.11853325285956627
25000, 12, 209, 0.12034273689580685
25500, 10, 175, 0.10417386681047906
26000, 11, 169, 0.10443389086223322
26500, 11, 164, 0.10123696358459108
27000, 10, 154, 0.09676404609150947
27500, 11, 156, 0.10468211308620681
28000, 11, 167, 0.09555876606529586
28500, 13, 144, 0.09656832389736883
29000, 16, 219, 0.12987252308344294
29500, 11, 149, 0.09045807852853129
30000, 12, 146, 0.09252865315293198
30500, 14, 148, 0.0942386082658584
31000, 12, 152, 0.09488010820269775
31500, 12, 150, 0.10552880884456421
32000, 12, 150, 0.08789379228197222
32500, 12, 145, 0.09485175855286239
33000, 12, 147, 0.09612368209549552
33500, 13, 152, 0.09295773504635214
34000, 13, 151, 0.08793649186717162
34500, 12, 139, 0.0898755573650724
35000, 12, 140, 0.09617687967478994
35500, 11, 153, 0.09406559029784763
36000, 12, 139, 0.09026572272194827
36500, 13, 153, 0.09586961086566166
37000, 12, 129, 0.083850532658411
37500, 12, 175, 0.10307927102877452
38000, 11, 139, 0.11692387737333666
38500, 12, 142, 0.08052205398838971
39000, 11, 149, 0.0896472918725274
39500, 22, 281, 0.17601349664144147
40000, 11, 129, 0.08071148147414706
40500, 11, 118, 0.0825472461093287
41000, 10, 131, 0.08171736334475099
41500, 11, 138, 0.10034801344166848
42000, 11, 109, 0.07416638456873184
42500, 11, 130, 0.07789911670576084
43000, 11, 125, 0.0806936070534002
43500, 10, 112, 0.07653903636248777
44000, 13, 149, 0.1132268855924639
44500, 12, 137, 0.07207101795469299
